,Step,Green wastes,Yellow wastes,Red wastes,Total wastes,Green on grid,Yellow on grid,Red on grid,Carried wastes,Wastes disposed,Mission complete,Known cells,Exploration ratio,Waste reports,Handoff reports,Map shares,Disposal reports,Total messages
0,0,12,0,0,12,12,0,0,0,0,0,0,0.0,0,0,0,0,0
1,1,12,0,0,12,12,0,0,0,0,0,67,0.22333333333333333,12,0,18,0,30
2,2,12,0,0,12,11,0,0,1,0,0,79,0.2633333333333333,22,0,18,0,40
3,3,12,0,0,12,11,0,0,1,0,0,93,0.31,38,0,18,0,56
4,4,12,0,0,12,9,0,0,3,0,0,104,0.3466666666666667,44,0,18,0,62
5,5,10,1,0,11,8,0,0,3,0,0,111,0.37,52,0,36,0,88
6,6,10,1,0,11,8,0,0,3,0,0,120,0.4,56,0,36,0,92
7,7,10,1,0,11,8,0,0,3,0,0,127,0.42333333333333334,62,0,36,0,98
8,8,10,1,0,11,7,0,0,4,0,0,131,0.43666666666666665,68,0,36,0,104
9,9,8,2,0,10,6,0,0,4,0,0,133,0.44333333333333336,74,0,54,0,128
10,10,6,3,0,9,6,0,0,3,0,0,135,0.45,74,0,54,0,128
11,11,6,3,0,9,6,0,0,3,0,0,140,0.4666666666666667,76,0,54,0,130
12,12,6,3,0,9,6,0,0,3,0,0,143,0.4766666666666667,80,0,54,0,134
13,13,6,3,0,9,6,0,0,3,0,0,146,0.4866666666666667,80,0,72,0,152
14,14,6,3,0,9,6,0,0,3,0,0,148,0.49333333333333335,80,0,72,0,152
15,15,6,3,0,9,6,0,0,3,0,0,150,0.5,80,0,72,0,152
16,16,6,3,0,9,6,2,0,1,0,0,151,0.5033333333333333,84,6,72,0,162
17,17,6,3,0,9,6,2,0,1,0,0,151,0.5033333333333333,86,6,90,0,182
18,18,6,3,0,9,6,2,0,1,0,0,151,0.5033333333333333,92,9,90,0,191
19,19,6,3,0,9,6,0,0,3,0,0,153,0.51,96,9,90,0,195
20,20,6,1,1,8,5,0,0,3,0,0,155,0.5166666666666667,106,9,90,0,205
21,21,6,1,1,8,5,0,0,3,0,0,157,0.5233333333333333,106,9,108,0,223
22,22,6,1,1,8,5,0,0,3,0,0,159,0.53,106,9,108,0,223
23,23,6,1,1,8,5,0,0,3,0,0,163,0.5433333333333333,106,9,108,0,223
24,24,6,1,1,8,5,0,0,3,0,0,167,0.5566666666666666,106,9,108,0,223
25,25,6,1,1,8,5,0,0,3,0,0,171,0.57,106,9,126,0,241
26,26,6,1,1,8,5,0,0,3,0,0,174,0.58,106,9,126,0,241
27,27,6,1,1,8,5,0,0,3,0,0,177,0.59,106,9,126,0,241
28,28,6,1,1,8,4,0,0,4,0,0,180,0.6,112,9,126,0,247
29,29,6,1,1,8,4,0,0,4,0,0,184,0.6133333333333333,118,9,144,0,271
30,30,6,1,1,8,4,0,0,4,0,0,187,0.6233333333333333,118,9,144,0,271
31,31,6,1,1,8,3,0,1,4,0,0,188,0.6266666666666667,120,12,144,0,276
32,32,6,1,1,8,3,0,1,4,0,0,190,0.6333333333333333,130,12,144,0,286
33,33,6,1,1,8,3,0,0,5,0,0,192,0.64,138,12,162,0,312
34,34,6,1,1,8,3,0,0,5,0,0,194,0.6466666666666666,142,12,162,0,316
35,35,6,1,1,8,2,0,0,6,0,0,195,0.65,146,12,162,0,320
36,36,4,2,1,7,2,1,0,4,0,0,199,0.6633333333333333,152,14,162,0,328
37,37,4,2,1,7,2,1,0,4,0,0,202,0.6733333333333333,152,14,180,0,346
38,38,4,2,1,7,2,1,0,4,0,0,205,0.6833333333333333,152,14,180,0,346
39,39,4,2,1,7,3,1,0,3,0,0,208,0.6933333333333334,152,14,180,0,346
40,40,4,2,1,7,3,0,0,4,0,0,211,0.7033333333333334,156,14,180,0,350
41,41,4,2,1,7,3,0,0,4,0,0,214,0.7133333333333334,156,14,198,0,368
42,42,4,2,1,7,3,0,0,4,0,0,217,0.7233333333333334,160,14,198,0,372
43,43,4,2,1,7,3,0,0,4,0,0,220,0.7333333333333333,162,14,198,0,374
44,44,4,2,1,7,2,1,0,4,0,0,222,0.74,166,17,198,0,381
45,45,2,3,1,6,2,1,0,3,0,0,224,0.7466666666666667,174,17,216,0,407
46,46,2,3,1,6,2,2,0,2,0,0,229,0.7633333333333333,174,20,216,0,410
47,47,2,3,1,6,2,2,0,2,0,0,234,0.78,174,20,216,0,410
48,48,2,3,1,6,2,2,0,2,0,0,240,0.8,174,20,216,0,410
49,49,2,3,1,6,2,2,0,2,0,0,246,0.82,174,20,234,0,428
50,50,2,3,1,6,2,2,0,2,0,0,252,0.84,174,20,234,0,428
51,51,2,3,1,6,2,2,0,2,0,0,257,0.8566666666666667,174,20,234,0,428
52,52,2,3,1,6,2,1,0,3,0,0,258,0.86,184,20,234,6,444
53,53,2,3,1,6,2,0,0,4,0,0,258,0.86,192,20,252,6,470
54,54,2,1,2,5,1,0,0,4,0,0,258,0.86,198,20,252,6,476
55,55,2,1,2,5,1,0,0,4,0,0,259,0.8633333333333333,198,20,252,6,476
56,56,2,1,2,5,1,0,0,4,0,0,261,0.87,198,20,252,6,476
57,57,2,1,2,5,1,1,0,3,0,0,263,0.8766666666666667,198,22,270,6,496
58,58,2,1,2,5,1,1,0,3,0,0,264,0.88,202,22,270,6,500
59,59,2,1,1,4,1,1,0,2,1,0,265,0.8833333333333333,202,22,270,6,500
60,60,2,1,1,4,1,1,0,2,1,0,267,0.89,202,22,270,6,500
61,61,2,1,1,4,1,1,0,2,1,0,270,0.9,202,22,288,6,518
62,62,2,1,1,4,1,1,0,2,1,0,271,0.9033333333333333,202,22,288,6,518
63,63,2,1,1,4,1,1,0,2,1,0,272,0.9066666666666666,202,22,288,6,518
64,64,2,1,1,4,1,1,0,2,1,0,272,0.9066666666666666,202,22,288,6,518
65,65,2,1,1,4,1,1,1,1,1,0,273,0.91,212,25,306,6,549
66,66,2,1,1,4,1,0,1,2,1,0,275,0.9166666666666666,218,25,306,6,555
67,67,2,1,1,4,0,0,1,3,1,0,276,0.92,222,25,306,6,559
68,68,2,1,1,4,0,0,1,3,1,0,277,0.9233333333333333,224,25,306,6,561
69,69,2,1,1,4,0,0,1,3,1,0,277,0.9233333333333333,224,25,324,6,579
70,70,2,1,1,4,1,0,1,2,1,0,279,0.93,224,25,324,6,579
71,71,2,1,1,4,1,0,1,2,1,0,280,0.9333333333333333,224,25,324,6,579
72,72,2,1,1,4,1,0,1,2,1,0,281,0.9366666666666666,224,25,324,6,579
73,73,2,1,1,4,1,0,0,3,1,0,283,0.9433333333333334,230,25,342,6,603
74,74,2,1,1,4,1,0,0,3,1,0,283,0.9433333333333334,230,25,342,6,603
75,75,2,1,1,4,1,0,0,3,1,0,283,0.9433333333333334,230,25,342,6,603
76,76,2,1,1,4,1,0,0,3,1,0,283,0.9433333333333334,230,25,342,6,603
77,77,2,1,1,4,1,0,0,3,1,0,283,0.9433333333333334,230,25,360,6,621
78,78,2,1,1,4,1,0,0,3,1,0,285,0.95,230,25,360,6,621
79,79,2,1,1,4,1,0,0,3,1,0,286,0.9533333333333334,230,25,360,6,621
80,80,2,1,1,4,1,0,0,3,1,0,287,0.9566666666666667,230,25,360,6,621
81,81,2,1,1,4,1,1,0,2,1,0,287,0.9566666666666667,238,27,378,6,649
82,82,2,1,1,4,1,1,0,2,1,0,287,0.9566666666666667,240,27,378,6,651
83,83,2,1,1,4,0,1,0,3,1,0,287,0.9566666666666667,246,27,378,6,657
84,84,0,2,1,3,0,1,0,2,1,0,288,0.96,246,27,378,6,657
85,85,0,2,1,3,0,2,0,1,1,0,288,0.96,246,30,396,6,678
86,86,0,2,1,3,0,2,0,1,1,0,288,0.96,252,30,396,6,684
87,87,0,2,0,2,0,2,0,0,2,0,290,0.9666666666666667,252,30,396,6,684
88,88,0,2,0,2,0,2,0,0,2,0,292,0.9733333333333334,252,30,396,6,684
89,89,0,2,0,2,0,2,0,0,2,0,293,0.9766666666666667,252,30,414,6,702
90,90,0,2,0,2,0,1,0,1,2,0,293,0.9766666666666667,256,30,414,6,706
91,91,0,2,0,2,0,1,0,1,2,0,293,0.9766666666666667,256,30,414,6,706
92,92,0,2,0,2,0,1,0,1,2,0,293,0.9766666666666667,256,30,414,6,706
93,93,0,2,0,2,0,1,0,1,2,0,293,0.9766666666666667,256,30,432,6,724
94,94,0,2,0,2,0,0,0,2,2,0,293,0.9766666666666667,258,30,432,6,726
95,95,0,2,0,2,0,0,0,2,2,0,293,0.9766666666666667,262,30,432,6,730
96,96,0,2,0,2,0,0,0,2,2,0,293,0.9766666666666667,262,30,432,6,730
97,97,0,2,0,2,0,0,0,2,2,0,293,0.9766666666666667,262,30,450,6,748
98,98,0,2,0,2,0,0,0,2,2,0,293,0.9766666666666667,262,30,450,6,748
99,99,0,2,0,2,0,0,0,2,2,0,294,0.98,262,30,450,6,748
100,100,0,2,0,2,0,0,0,2,2,0,295,0.9833333333333333,262,30,450,6,748
101,101,0,2,0,2,0,0,0,2,2,0,297,0.99,262,30,468,6,766
102,102,0,2,0,2,0,0,0,2,2,0,299,0.9966666666666667,262,30,468,6,766
103,103,0,2,0,2,0,0,0,2,2,0,299,0.9966666666666667,262,30,468,6,766
104,104,0,2,0,2,0,0,0,2,2,0,299,0.9966666666666667,262,30,468,6,766
105,105,0,2,0,2,0,1,0,1,2,0,299,0.9966666666666667,262,30,486,6,784
106,106,0,2,0,2,0,1,0,1,2,0,299,0.9966666666666667,262,30,486,6,784
107,107,0,2,0,2,0,1,0,1,2,0,299,0.9966666666666667,262,30,486,6,784
108,108,0,2,0,2,0,1,0,1,2,0,299,0.9966666666666667,262,30,486,6,784
109,109,0,2,0,2,0,1,0,1,2,0,300,1.0,262,30,504,6,802
110,110,0,2,0,2,0,1,0,1,2,0,300,1.0,262,30,504,6,802
111,111,0,2,0,2,0,1,0,1,2,0,300,1.0,262,30,504,6,802
112,112,0,2,0,2,0,1,0,1,2,0,300,1.0,262,30,504,6,802
113,113,0,2,0,2,0,1,0,1,2,0,300,1.0,262,30,522,6,820
114,114,0,2,0,2,0,1,0,1,2,0,300,1.0,262,30,522,6,820
115,115,0,2,0,2,0,1,0,1,2,0,300,1.0,268,30,522,6,826
116,116,0,2,0,2,0,1,0,1,2,0,300,1.0,268,30,522,6,826
117,117,0,2,0,2,0,0,0,2,2,0,300,1.0,272,30,540,6,848
118,118,0,0,1,1,0,0,0,1,2,0,300,1.0,274,30,540,6,850
119,119,0,0,1,1,0,0,1,0,2,0,300,1.0,278,33,540,6,857
120,120,0,0,1,1,0,0,1,0,2,0,300,1.0,280,33,540,6,859
121,121,0,0,1,1,0,0,1,0,2,0,300,1.0,280,33,558,6,877
122,122,0,0,1,1,0,0,1,0,2,0,300,1.0,280,33,558,6,877
123,123,0,0,1,1,0,0,1,0,2,0,300,1.0,280,33,558,6,877
124,124,0,0,1,1,0,0,1,0,2,0,300,1.0,280,33,558,6,877
125,125,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,576,6,901
126,126,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,576,6,901
127,127,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,576,6,901
128,128,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,576,6,901
129,129,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,594,6,919
130,130,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,594,6,919
131,131,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,594,6,919
132,132,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,594,6,919
133,133,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,612,6,937
134,134,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,612,6,937
135,135,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,612,6,937
136,136,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,612,6,937
137,137,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,630,6,955
138,138,0,0,1,1,0,0,0,1,2,0,300,1.0,286,33,630,6,955
139,139,0,0,0,0,0,0,0,0,3,1,300,1.0,286,33,630,6,955
